time_s	mv
0.971	0.068654
0.972	0.070707
0.973	0.06314
0.974	0.044116
0.975	0.015067
0.976	-0.018498
0.977	-0.048123
0.978	-0.066388
0.979	-0.069789
0.98	-0.058812
0.981	-0.037063
0.982	-0.010423
0.983	0.014368
0.984	0.031988
0.985	0.040604
0.986	0.041878
0.987	0.039223
0.988	0.035958
0.989	0.033984
0.99	0.033221
0.991	0.032672
0.992	0.033514
0.993	0.040825
0.994	0.0591
0.995	0.085765
0.996	0.11154
0.997	0.126702
0.998	0.125952
0.999	0.109185
1.0	0.079911
1.001	0.043821
1.002	0.008167
1.003	-0.01951
1.004	-0.034193
1.005	-0.035902
1.006	-0.028874
1.007	-0.017498
1.008	-0.003571
1.009	0.011933
1.01	0.025595
1.011	0.031541
1.012	0.025215
1.013	0.006588
1.014	-0.020943
1.015	-0.052964
1.016	-0.084126
1.017	-0.108439
1.018	-0.121509
1.019	-0.121804
1.02	-0.109777
1.021	-0.087025
1.022	-0.057019
1.023	-0.025931
1.024	-0.001246
1.025	0.011469
1.026	0.011305
1.027	0.002286
1.028	-0.009287
1.029	-0.01854
1.03	-0.024073
1.031	-0.026714
1.032	-0.025348
1.033	-0.014968
1.034	0.008071
1.035	0.039502
1.036	0.068552
1.037	0.08499
1.038	0.084077
1.039	0.066972
1.04	0.038661
1.041	0.006026
1.042	-0.023339
1.043	-0.042721
1.044	-0.04922
1.045	-0.045979
1.046	-0.040036
1.047	-0.036846
1.048	-0.03713
1.049	-0.038293
1.05	-0.038099
1.051	-0.03757
1.052	-0.040642
1.053	-0.051078
1.054	-0.069919
1.055	-0.094608
1.056	-0.119297
1.057	-0.137054
1.058	-0.143058
1.059	-0.136206
1.06	-0.118493
1.061	-0.093652
1.062	-0.066408
1.063	-0.041947
1.064	-0.024607
1.065	-0.016176
1.066	-0.015206
1.067	-0.018145
1.068	-0.021493
1.069	-0.023399
1.07	-0.024094
1.071	-0.024586
1.072	-0.02334
1.073	-0.015028
1.074	0.004654
1.075	0.033144
1.076	0.061467
1.077	0.079901
1.078	0.082903
1.079	0.070228
1.08	0.04561
1.081	0.015188
1.082	-0.013727
1.083	-0.034153
1.084	-0.04233
1.085	-0.040279
1.086	-0.034202
1.087	-0.029562
1.088	-0.027889
1.089	-0.0276
1.09	-0.027201
1.091	-0.027635
1.092	-0.031621
1.093	-0.041693
1.094	-0.059285
1.095	-0.083582
1.096	-0.109946
1.097	-0.13095
1.098	-0.140132
1.099	-0.134753
1.1	-0.115959
1.101	-0.087952
1.102	-0.05717
1.103	-0.030696
1.104	-0.013698
1.105	-0.007398
1.106	-0.009212
1.107	-0.014821
1.108	-0.020253
1.109	-0.023127
1.11	-0.0234
1.111	-0.022416
1.112	-0.019528
1.113	-0.010559
1.114	0.007866
1.115	0.03278
1.116	0.055647
1.117	0.068248
1.118	0.066836
1.119	0.05205
1.12	0.027152
1.121	-0.002849
1.122	-0.031079
1.123	-0.050051
1.124	-0.055735
1.125	-0.050819
1.126	-0.042681
1.127	-0.037647
1.128	-0.036963
1.129	-0.037582
1.13	-0.036352
1.131	-0.033377
1.132	-0.031902
1.133	-0.036198
1.134	-0.049678
1.135	-0.072576
1.136	-0.099973
1.137	-0.12376
1.138	-0.137595
1.139	-0.139533
1.14	-0.130667
1.141	-0.112566
1.142	-0.086607
1.143	-0.055825
1.144	-0.026126
1.145	-0.004104
1.146	0.006463
1.147	0.006515
1.148	0.00108
1.149	-0.003951
1.15	-0.005526
1.151	-0.003852
1.152	0.001322
1.153	0.013335
1.154	0.034865
1.155	0.062398
1.156	0.087072
1.157	0.100391
1.158	0.098222
1.159	0.081175
1.16	0.053268
1.161	0.020982
1.162	-0.007267
1.163	-0.023701
1.164	-0.026043
1.165	-0.019892
1.166	-0.01474
1.167	-0.016599
1.168	-0.024155
1.169	-0.031465
1.17	-0.03373
1.171	-0.031073
1.172	-0.02802
1.173	-0.030526
