animal_id,time_ms,voltage_mv
232,20.0,-0.02469
232,21.0,-0.022535
232,22.0,-0.018258
232,23.0,-0.013771
232,24.0,-0.010783
232,25.0,-0.009966
232,26.0,-0.010871
232,27.0,-0.012459
232,28.0,-0.013737
232,29.0,-0.014073
232,30.0,-0.013188
232,31.0,-0.011059
232,32.0,-0.007935
232,33.0,-0.004452
232,34.0,-0.001563
232,35.0,-0.000203
232,36.0,-0.000814
232,37.0,-0.003035
232,38.0,-0.00577
232,39.0,-0.007646
232,40.0,-0.007648
232,41.0,-0.005611
232,42.0,-0.00228
232,43.0,0.001216
232,44.0,0.004091
232,45.0,0.006207
232,46.0,0.007771
232,47.0,0.00892
232,48.0,0.00975
232,49.0,0.010509
232,50.0,0.011434
232,51.0,0.012311
232,52.0,0.012392
232,53.0,0.010983
232,54.0,0.008089
232,55.0,0.004433
232,56.0,0.000877
232,57.0,-0.001983
232,58.0,-0.003698
232,59.0,-0.003838
232,60.0,-0.002374
232,61.0,-0.000186
232,62.0,0.001085
232,63.0,-3e-06
232,64.0,-0.003721
232,65.0,-0.009026
232,66.0,-0.014253
232,67.0,-0.017973
232,68.0,-0.019429
232,69.0,-0.018529
232,70.0,-0.015662
232,71.0,-0.011554
232,72.0,-0.007187
232,73.0,-0.003653
232,74.0,-0.001819
232,75.0,-0.001913
232,76.0,-0.003342
232,77.0,-0.004949
232,78.0,-0.005564
232,79.0,-0.004553
232,80.0,-0.002142
232,81.0,0.000606
232,82.0,0.002281
232,83.0,0.002203
232,84.0,0.001676
232,85.0,0.00419
232,86.0,0.013091
232,87.0,0.027152
232,88.0,0.038144
232,89.0,0.035477
232,90.0,0.016087
232,91.0,-0.010679
232,92.0,-0.029572
232,93.0,-0.03056
232,94.0,-0.013655
232,95.0,0.014373
232,96.0,0.044881
232,97.0,0.068879
232,98.0,0.077326
232,99.0,0.064931
232,100.0,0.036009
232,101.0,0.004502
232,102.0,-0.014847
232,103.0,-0.016248
232,104.0,-0.004617
232,105.0,0.010277
232,106.0,0.020582
232,107.0,0.023366
232,108.0,0.01986
232,109.0,0.01314
232,110.0,0.006074
232,111.0,0.000257
232,112.0,-0.004109
232,113.0,-0.007734
232,114.0,-0.011496
232,115.0,-0.015761
232,116.0,-0.020051
232,117.0,-0.023258
232,118.0,-0.024305
232,119.0,-0.022844
232,120.0,-0.019538
232,121.0,-0.01574
232,122.0,-0.01282
232,123.0,-0.01155
232,124.0,-0.011861
232,125.0,-0.013023
232,126.0,-0.014089
232,127.0,-0.014321
232,128.0,-0.013385
232,129.0,-0.011323
232,130.0,-0.008472
232,131.0,-0.005402
232,132.0,-0.00285
232,133.0,-0.001541
232,134.0,-0.001885
232,135.0,-0.003682
232,136.0,-0.006074
232,137.0,-0.007879
232,138.0,-0.008122
232,139.0,-0.006472
232,140.0,-0.003314
232,141.0,0.000533
232,142.0,0.004204
232,143.0,0.007044
232,144.0,0.008752
232,145.0,0.009499
232,146.0,0.00985
232,147.0,0.010301
232,148.0,0.010744
232,149.0,0.010473
232,150.0,0.008881
232,151.0,0.006155
232,152.0,0.003202
232,153.0,0.00087
232,154.0,-0.000673
232,155.0,-0.001736
232,156.0,-0.002425
232,157.0,-0.002379
232,158.0,-0.001307
232,159.0,0.000283
232,160.0,0.001061
232,161.0,-0.000282
232,162.0,-0.004083
232,163.0,-0.009415
232,164.0,-0.014597
232,165.0,-0.01806
232,166.0,-0.019006
232,167.0,-0.017585
232,168.0,-0.014617
232,169.0,-0.01109
232,170.0,-0.007785
232,171.0,-0.00518
232,172.0,-0.003533
232,173.0,-0.002964
232,174.0,-0.003374
232,175.0,-0.004306
232,176.0,-0.005001
232,177.0,-0.00478
232,178.0,-0.003554
232,179.0,-0.001964
232,180.0,-0.000785
232,181.0,0.000262
232,182.0,0.003235
232,183.0,0.010728
232,184.0,0.022465
232,185.0,0.032671
232,186.0,0.032786
232,187.0,0.019227
232,188.0,-0.001629
232,189.0,-0.017831
232,190.0,-0.021216
232,191.0,-0.011833
232,192.0,0.005342
232,193.0,0.02557
232,194.0,0.045701
232,195.0,0.061756
232,196.0,0.067359
232,197.0,0.057075
232,198.0,0.0326
232,199.0,0.004397
249,-100.0,-0.036434
249,-99.0,-0.041576
249,-98.0,-0.041541
249,-97.0,-0.037368
249,-96.0,-0.03171
249,-95.0,-0.027136
249,-94.0,-0.02474
249,-93.0,-0.023958
249,-92.0,-0.023479
249,-91.0,-0.022377
249,-90.0,-0.020586
249,-89.0,-0.018543
249,-88.0,-0.016501
249,-87.0,-0.014275
249,-86.0,-0.011676
249,-85.0,-0.009174
249,-84.0,-0.008038
249,-83.0,-0.009605
249,-82.0,-0.014116
249,-81.0,-0.020066
249,-80.0,-0.024731
249,-79.0,-0.025665
249,-78.0,-0.0222
249,-77.0,-0.015858
249,-76.0,-0.009341
249,-75.0,-0.004837
249,-74.0,-0.002876
249,-73.0,-0.002484
249,-72.0,-0.002295
249,-71.0,-0.001619
249,-70.0,-0.000654
249,-69.0,0.000125
249,-68.0,0.000677
249,-67.0,0.001457
249,-66.0,0.002754
249,-65.0,0.003954
249,-64.0,0.003579
249,-63.0,0.000296
249,-62.0,-0.005828
249,-61.0,-0.012844
249,-60.0,-0.01778
249,-59.0,-0.018375
249,-58.0,-0.014544
249,-57.0,-0.008443
249,-56.0,-0.003032
249,-55.0,-0.000207
249,-54.0,0.000126
249,-53.0,-0.000524
249,-52.0,-0.000667
249,-51.0,0.000111
249,-50.0,0.001224
249,-49.0,0.002007
249,-48.0,0.002508
249,-47.0,0.003369
249,-46.0,0.004904
249,-45.0,0.006289
249,-44.0,0.005773
249,-43.0,0.002012
249,-42.0,-0.004442
249,-41.0,-0.010786
