animal_id,time_s,mv
117,1.483,0.551998
117,1.484,0.61766
117,1.485,0.675904
117,1.486,0.721861
117,1.487,0.750427
117,1.488,0.758531
117,1.489,0.74651
117,1.49,0.717398
117,1.491,0.674366
117,1.492,0.619128
117,1.493,0.553379
117,1.494,0.480978
117,1.495,0.408433
117,1.496,0.34449
117,1.497,0.299233
117,1.498,0.281319
117,1.499,0.294167
117,1.5,0.333887
117,1.501,0.390494
117,1.502,0.452235
117,1.503,0.510536
117,1.504,0.561625
117,1.505,0.604217
117,1.506,0.636738
117,1.507,0.65645
117,1.508,0.660041
117,1.509,0.644775
117,1.51,0.61006
117,1.511,0.560173
117,1.512,0.507678
117,1.513,0.473448
117,1.514,0.479386
117,1.515,0.535744
117,1.516,0.629335
117,1.517,0.722031
117,1.518,0.76842
117,1.519,0.745389
117,1.52,0.668364
117,1.521,0.579178
117,1.522,0.518115
117,1.523,0.503153
117,1.524,0.527259
117,1.525,0.569468
117,1.526,0.608843
117,1.527,0.632506
117,1.528,0.636306
117,1.529,0.62164
117,1.53,0.591857
117,1.531,0.550327
117,1.532,0.500328
117,1.533,0.44482
117,1.534,0.385771
117,1.535,0.325363
117,1.536,0.268769
117,1.537,0.224512
117,1.538,0.201172
117,1.539,0.203416
117,1.54,0.229715
117,1.541,0.272733
117,1.542,0.322614
117,1.543,0.371025
117,1.544,0.413159
117,1.545,0.447198
117,1.546,0.472342
117,1.547,0.487165
117,1.548,0.490101
117,1.549,0.481259
117,1.55,0.462853
117,1.551,0.437605
117,1.552,0.406787
117,1.553,0.36957
117,1.554,0.324724
117,1.555,0.273937
117,1.556,0.223634
117,1.557,0.183343
117,1.558,0.162057
117,1.559,0.164491
117,1.56,0.188629
117,1.561,0.226581
117,1.562,0.26857
117,1.563,0.306882
117,1.564,0.337693
117,1.565,0.360765
117,1.566,0.377575
117,1.567,0.389223
117,1.568,0.395355
117,1.569,0.39413
117,1.57,0.383326
117,1.571,0.362214
117,1.572,0.332171
117,1.573,0.295161
117,1.574,0.252654
117,1.575,0.20699
117,1.576,0.163059
117,1.577,0.127886
117,1.578,0.108541
117,1.579,0.10933
117,1.58,0.129474
117,1.581,0.163116
117,1.582,0.201778
117,1.583,0.237531
117,1.584,0.265626
117,1.585,0.285387
117,1.586,0.298522
117,1.587,0.306632
117,1.588,0.310389
117,1.589,0.310226
117,1.59,0.306904
117,1.591,0.300957
117,1.592,0.291348
117,1.593,0.275203
117,1.594,0.249977
117,1.595,0.215863
117,1.596,0.176143
117,1.597,0.136759
117,1.598,0.105753
117,1.599,0.090841
117,1.6,0.095529
117,1.601,0.11685
117,1.602,0.146626
117,1.603,0.175716
117,1.604,0.198523
117,1.605,0.21419
117,1.606,0.224121
117,1.607,0.22936
117,1.608,0.23022
117,1.609,0.227106
117,1.61,0.220951
117,1.611,0.212567
117,1.612,0.20142
117,1.613,0.185474
117,1.614,0.162754
117,1.615,0.132878
117,1.616,0.097883
117,1.617,0.063147
117,1.618,0.036807
117,1.619,0.02594
117,1.62,0.032214
117,1.621,0.050862
117,1.622,0.073466
117,1.623,0.092527
117,1.624,0.104948
117,1.625,0.112047
117,1.626,0.116716
117,1.627,0.12071
117,1.628,0.123497
117,1.629,0.122392
117,1.63,0.113852
117,1.631,0.095997
117,1.632,0.071972
117,1.633,0.052827
117,1.634,0.056566
117,1.635,0.100865
117,1.636,0.191752
117,1.637,0.313095
117,1.638,0.42475
117,1.639,0.479398
117,1.64,0.452554
117,1.641,0.359853
117,1.642,0.245151
117,1.643,0.15187
117,1.644,0.101588
117,1.645,0.090986
117,1.646,0.102148
117,1.647,0.116091
117,1.648,0.121717
117,1.649,0.117367
117,1.65,0.107104
117,1.651,0.095584
117,1.652,0.084633
117,1.653,0.072821
117,1.654,0.056764
117,1.655,0.032738
117,1.656,-0.000862
117,1.657,-0.04062
117,1.658,-0.077674
117,1.659,-0.101258
117,1.66,-0.10455
117,1.661,-0.089168
117,1.662,-0.064261
117,1.663,-0.040459
117,1.664,-0.024156
117,1.665,-0.016285
117,1.666,-0.014376
117,1.667,-0.015098
117,1.668,-0.016116
117,1.669,-0.016905
117,1.67,-0.018347
117,1.671,-0.021619
117,1.672,-0.027276
117,1.673,-0.035513
117,1.674,-0.047613
117,1.675,-0.066227
117,1.676,-0.092583
117,1.677,-0.123231
117,1.678,-0.150549
117,1.679,-0.167064
117,1.68,-0.169877
117,1.681,-0.161882
117,1.682,-0.149135
117,1.683,-0.136868
117,1.684,-0.127604
